"age","sex","wing","weight","Source"
0,"Male",1.79,45.1,"Bijlsma 1999, Limosa 72"
1,"Male",1.99,58.1,"Bijlsma 1999, Limosa 72"
2,"Male",2.21,69.2,"Bijlsma 1999, Limosa 72"
3,"Male",2.44,68.4,"Bijlsma 1999, Limosa 72"
4,"Male",2.72,108.8,"Bijlsma 1999, Limosa 72"
5,"Male",2.89,124.8,"Bijlsma 1999, Limosa 72"
6,"Male",3.34,157.4,"Bijlsma 1999, Limosa 72"
7,"Male",3.56,178.9,"Bijlsma 1999, Limosa 72"
8,"Male",4.04,217.8,"Bijlsma 1999, Limosa 72"
9,"Male",4.64,250.8,"Bijlsma 1999, Limosa 72"
10,"Male",5.18,279.7,"Bijlsma 1999, Limosa 72"
11,"Male",5.78,319.9,"Bijlsma 1999, Limosa 72"
12,"Male",6.68,342.1,"Bijlsma 1999, Limosa 72"
13,"Male",7.46,386.2,"Bijlsma 1999, Limosa 72"
14,"Male",8.32,416.5,"Bijlsma 1999, Limosa 72"
15,"Male",9.02,445.1,"Bijlsma 1999, Limosa 72"
16,"Male",10.13,486.6,"Bijlsma 1999, Limosa 72"
17,"Male",10.74,497.3,"Bijlsma 1999, Limosa 72"
18,"Male",11.81,530.7,"Bijlsma 1999, Limosa 72"
19,"Male",12.81,528.5,"Bijlsma 1999, Limosa 72"
20,"Male",13.81,567.8,"Bijlsma 1999, Limosa 72"
21,"Male",14.65,593.3,"Bijlsma 1999, Limosa 72"
22,"Male",15.57,605.9,"Bijlsma 1999, Limosa 72"
23,"Male",16.55,623.8,"Bijlsma 1999, Limosa 72"
24,"Male",17.39,651.4,"Bijlsma 1999, Limosa 72"
25,"Male",18.27,641.8,"Bijlsma 1999, Limosa 72"
26,"Male",18.97,662.2,"Bijlsma 1999, Limosa 72"
27,"Male",19.66,653.6,"Bijlsma 1999, Limosa 72"
28,"Male",20.44,654.6,"Bijlsma 1999, Limosa 72"
29,"Male",21.32,683.8,"Bijlsma 1999, Limosa 72"
30,"Male",22.14,694.1,"Bijlsma 1999, Limosa 72"
31,"Male",22.92,697.5,"Bijlsma 1999, Limosa 72"
32,"Male",23.48,711.4,"Bijlsma 1999, Limosa 72"
33,"Male",24.24,697.5,"Bijlsma 1999, Limosa 72"
34,"Male",25.02,733.8,"Bijlsma 1999, Limosa 72"
35,"Male",25.77,725.8,"Bijlsma 1999, Limosa 72"
36,"Male",26.32,722.3,"Bijlsma 1999, Limosa 72"
37,"Male",27.01,725.3,"Bijlsma 1999, Limosa 72"
38,"Male",27.91,745.4,"Bijlsma 1999, Limosa 72"
39,"Male",28.39,742.7,"Bijlsma 1999, Limosa 72"
40,"Male",28.76,726.2,"Bijlsma 1999, Limosa 72"
41,"Male",29.44,737.5,"Bijlsma 1999, Limosa 72"
42,"Male",29.88,731.5,"Bijlsma 1999, Limosa 72"
43,"Male",30.43,713.6,"Bijlsma 1999, Limosa 72"
44,"Male",31.15,750.8,"Bijlsma 1999, Limosa 72"
45,"Male",31.54,729,"Bijlsma 1999, Limosa 72"
46,"Male",32.12,767.5,"Bijlsma 1999, Limosa 72"
47,"Male",32.7,736.2,"Bijlsma 1999, Limosa 72"
48,"Male",33.1,716.2,"Bijlsma 1999, Limosa 72"
49,"Male",33.4,745,"Bijlsma 1999, Limosa 72"
50,"Male",NA,730,"Bijlsma 1999, Limosa 72"
0,"Female",1.93,41.3,"Bijlsma 1999, Limosa 72"
1,"Female",2.09,54.1,"Bijlsma 1999, Limosa 72"
2,"Female",2.29,73,"Bijlsma 1999, Limosa 72"
3,"Female",2.49,88.1,"Bijlsma 1999, Limosa 72"
4,"Female",2.73,109.7,"Bijlsma 1999, Limosa 72"
5,"Female",3.07,126.6,"Bijlsma 1999, Limosa 72"
6,"Female",3.44,166.1,"Bijlsma 1999, Limosa 72"
7,"Female",3.7,189.6,"Bijlsma 1999, Limosa 72"
8,"Female",4.21,231.5,"Bijlsma 1999, Limosa 72"
9,"Female",4.7,274.2,"Bijlsma 1999, Limosa 72"
10,"Female",5.26,303.6,"Bijlsma 1999, Limosa 72"
11,"Female",5.91,337,"Bijlsma 1999, Limosa 72"
12,"Female",6.61,365.1,"Bijlsma 1999, Limosa 72"
13,"Female",7.38,403.7,"Bijlsma 1999, Limosa 72"
14,"Female",8.47,444.2,"Bijlsma 1999, Limosa 72"
15,"Female",9.26,496.8,"Bijlsma 1999, Limosa 72"
16,"Female",10.26,532.2,"Bijlsma 1999, Limosa 72"
17,"Female",11.41,566.1,"Bijlsma 1999, Limosa 72"
18,"Female",12.35,596.4,"Bijlsma 1999, Limosa 72"
19,"Female",13.16,600,"Bijlsma 1999, Limosa 72"
20,"Female",14.1,642.7,"Bijlsma 1999, Limosa 72"
21,"Female",15.23,661.6,"Bijlsma 1999, Limosa 72"
22,"Female",16.01,706.8,"Bijlsma 1999, Limosa 72"
23,"Female",16.8,720.7,"Bijlsma 1999, Limosa 72"
24,"Female",17.72,730.7,"Bijlsma 1999, Limosa 72"
25,"Female",18.74,764.7,"Bijlsma 1999, Limosa 72"
26,"Female",19.52,756.2,"Bijlsma 1999, Limosa 72"
27,"Female",20.42,769.3,"Bijlsma 1999, Limosa 72"
28,"Female",21.37,774.1,"Bijlsma 1999, Limosa 72"
29,"Female",22.01,788.2,"Bijlsma 1999, Limosa 72"
30,"Female",22.82,797,"Bijlsma 1999, Limosa 72"
31,"Female",23.59,830,"Bijlsma 1999, Limosa 72"
32,"Female",24.39,829,"Bijlsma 1999, Limosa 72"
33,"Female",25.15,835.4,"Bijlsma 1999, Limosa 72"
34,"Female",25.81,850.4,"Bijlsma 1999, Limosa 72"
35,"Female",26.3,873.8,"Bijlsma 1999, Limosa 72"
36,"Female",27.43,869.5,"Bijlsma 1999, Limosa 72"
37,"Female",28.1,865.4,"Bijlsma 1999, Limosa 72"
38,"Female",28.48,864.2,"Bijlsma 1999, Limosa 72"
39,"Female",29.51,853,"Bijlsma 1999, Limosa 72"
40,"Female",30.14,861.8,"Bijlsma 1999, Limosa 72"
41,"Female",30.67,879.2,"Bijlsma 1999, Limosa 72"
42,"Female",31.26,898,"Bijlsma 1999, Limosa 72"
43,"Female",31.85,895,"Bijlsma 1999, Limosa 72"
44,"Female",32.45,887.8,"Bijlsma 1999, Limosa 72"
45,"Female",32.7,855,"Bijlsma 1999, Limosa 72"
46,"Female",33.28,888,"Bijlsma 1999, Limosa 72"
47,"Female",33.23,811.2,"Bijlsma 1999, Limosa 72"
48,"Female",33.6,875,"Bijlsma 1999, Limosa 72"
49,"Female",34.4,856.7,"Bijlsma 1999, Limosa 72"
50,"Female",35,825,"Bijlsma 1999, Limosa 72"
